simulation,placebo_mean_R
749,0.24493442200530757
750,0.19878318997888983
751,0.21244662400178924
752,0.22972955849940865
753,0.2215228449333905
754,0.24666543543721045
755,0.24340071376980757
756,0.19364091605259356
757,0.21337871610399298
758,0.18914093498102805
759,0.17499275987768814
760,0.2415122267269903
761,0.19960224584358277
762,0.21295002111365305
763,0.2046928560467447
764,0.2393596142733265
765,0.2287852671732609
766,0.23293940290725287
767,0.2373580909929984
768,0.23934041469028183
769,0.19779505178658546
770,0.21010479468552004
771,0.23076759087054435
772,0.2412289017330991
773,0.2114898846164735
774,0.21927596888435352
775,0.2794448406798433
776,0.23158664673523732
777,0.23108231467142423
778,0.264955202605896
779,0.24400942587168278
780,0.2305975735909837
781,0.2160347256695207
782,0.21244662400178924
783,0.23874318092395183
784,0.1794740849178303
785,0.26731511489244386
786,0.27727302864313486
787,0.17997748202969416
788,0.21417763743369203
789,0.14250496187416975
790,0.2215228449333905
791,0.2629809620469168
792,0.21425893041951197
793,0.2146184360384977
794,0.2544081382271793
795,0.21413369495805715
796,0.195812728089302
797,0.23518627895628993
798,0.19971528208109363
799,0.22392578048270975
800,0.26278339056918754
801,0.2735280264256335
802,0.2114898846164735
803,0.20560481361395458
804,0.18214929406640262
805,0.2219515399237305
806,0.2023712916466213
807,0.2780597507488899
808,0.22842576155427521
809,0.21653812278138457
810,0.23159379492159224
811,0.2553200957943892
812,0.18164589695453878
813,0.24524914580618742
814,0.217104156847645
815,0.25314828375768067
816,0.17172031696278575
817,0.21413369495805715
818,0.21244662400178924
819,0.22661345513655243
820,0.23159379492159224
821,0.19595809808575076
822,0.24793243809306398
823,0.25165015758921644
824,0.20560035308361255
825,0.21526720314681028
826,0.1981097755874653
827,0.2114898846164735
828,0.2415122267269903
829,0.22384002696654773
830,0.23265607791336165
831,0.26278339056918754
832,0.2553200957943892
833,0.2046928560467447
834,0.1896443320928919
835,0.23017035710421435
836,0.2018553508661112
837,0.20560035308361255
838,0.21792321271233794
839,0.21792321271233794
840,0.2472314695034709
841,0.1981097755874653
842,0.2073560137986273
843,0.16082592874292492
844,0.2472314695034709
845,0.23265607791336165
846,0.24576062605635546
847,0.1667427429971347
848,0.21196188292134868
849,0.23885621716146263
850,0.18914093498102805
851,0.2373580909929984
852,0.22661345513655243
853,0.2794448406798433
854,0.17448936276582433
855,0.25942406007925484
856,0.23108231467142423
857,0.1822946640628514
858,0.22234755671043027
859,0.18405032477786615
860,0.2216287329845464
861,0.2407447042042799
862,0.22567698066738248
863,0.2146184360384977
864,0.17448936276582433
865,0.19102942202384535
866,0.2629809620469168
867,0.22507974690105245
868,0.2694869269291524
869,0.21244662400178924
870,0.21227660672222853
871,0.23249860430244723
872,0.1679824629316394
873,0.22290793486434393
874,0.21413369495805715
875,0.1580568829398864
876,0.26731511489244386
877,0.19364091605259356
878,0.2444624237004324
879,0.23020155680428392
880,0.22384002696654773
881,0.23572766573943837
882,0.2219515399237305
883,0.2530230482962259
884,0.1867991056647589
885,0.23750346098944713
886,0.24539451580263616
887,0.23249860430244723
888,0.23159379492159224
889,0.23934041469028183
890,0.20371186604079522
891,0.23198266352193708
892,0.20560035308361255
893,0.2708720168601058
894,0.23249860430244723
895,0.18914093498102805
896,0.25396733962237367
897,0.21417763743369203
898,0.156671793008933
899,0.19593796355075685
900,0.21792321271233794
901,0.18630342980039458
902,0.25797610535991683
903,0.17172031696278575
904,0.25797610535991683
905,0.20330776611579124
906,0.24525722894449165
907,0.23249860430244723
908,0.21650692308131497
909,0.2219515399237305
910,0.24576062605635546
911,0.156671793008933
912,0.24931752802401744
913,0.22507974690105245
914,0.20560481361395458
915,0.23934041469028183
916,0.23611837105849373
917,0.23657136888724334
918,0.24539451580263616
919,0.22369465697009905
920,0.24714571598730892
921,0.18353438399735605
922,0.24631951193626098
923,0.21413369495805715
924,0.23611837105849373
925,0.257064147792707
926,0.2023712916466213
927,0.1977137588007655
928,0.2508512362595174
929,0.21366169665318197
930,0.27588793871218137
931,0.18865619390058755
932,0.2219515399237305
933,0.2530352475201698
934,0.2472314695034709
935,0.2508512362595174
936,0.17448936276582433
937,0.2472314695034709
938,0.21337871610399298
939,0.18040617702003411
940,0.17033522703183235
941,0.21295002111365305
942,0.22384002696654773
943,0.22661345513655243
944,0.24539451580263616
945,0.2093503888926005
946,0.21103688678772384
947,0.2530230482962259
948,0.21653812278138457
949,0.21242197671867724
950,0.257064147792707
951,0.23017035710421435
952,0.2334428000191167
953,0.2522363261904708
954,0.21512183315036154
955,0.22754554723875622
956,0.19960224584358277
957,0.19095324139875086
958,0.23947770154842637
959,0.2484913239729695
960,0.1971978180202554
961,0.22567698066738248
962,0.2298425947369195
963,0.17997748202969416
964,0.19222024405460433
965,0.24931752802401744
966,0.1977137588007655
967,0.26080915001020827
968,0.22143559914322042
969,0.26731511489244386
970,0.2373580909929984
971,0.14250496187416975
972,0.17448936276582433
973,0.24666543543721045
974,0.20371186604079522
975,0.264955202605896
976,0.23718780223661798
977,0.19222024405460433
978,0.2629809620469168
979,0.2305975735909837
980,0.20512007253351408
981,0.2215228449333905
982,0.1763778498086416
